OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
591,28537,Hobucken,NA,NA
592,28538,Hookerton,60,0
593,28539,Hubert,116,1
594,28540,Jacksonville,448,7
595,28542,Camp Lejeune,88,0
596,28543,Tarawa Terrace,38,2
597,28544,Midway Park,52,2
598,28545,Mccutcheon Field,14,0
599,28546,Jacksonville,431,4
600,28547,Camp Lejeune,206,0
601,28551,La Grange,290,6
602,28552,Lowland,NA,NA
603,28553,Marshallberg,3,0
604,28555,Maysville,41,0
605,28556,Merritt,3,0
606,28557,Morehead City,159,0
607,28560,New Bern,407,18
608,28561,New Bern,NA,NA
609,28562,New Bern,463,10
610,28570,Newport,246,1
611,28571,Oriental,16,0
612,28572,Pink Hill,107,1
613,28573,Pollocksville,71,9
614,28574,Richlands,193,4
615,28577,Sealevel,5,0
616,28578,Seven Springs,243,3
617,28579,Smyrna,7,0
618,28580,Snow Hill,280,5
619,28581,Stacy,NA,NA
620,28582,Stella,8,0
621,28583,Stonewall,NA,NA
622,28584,Swansboro,75,0
623,28585,Trenton,43,2
624,28586,Vanceboro,245,1
625,28587,Vandemere,NA,NA
626,28590,Winterville,528,6
627,28594,Emerald Isle,33,0
628,28601,Hickory,1000,15
629,28602,Hickory,621,20
630,28604,Banner Elk,44,0
631,28605,Blowing Rock,25,0
632,28606,Boomer,30,0
633,28607,Boone,409,1
634,28609,Catawba,90,0
635,28610,Claremont,155,1
636,28611,Collettsville,16,0
637,28612,Connelly Springs,208,8
638,28613,Conover,489,8
639,28615,Creston,23,0
640,28617,Crumpler,29,0
641,28618,Deep Gap,24,0
642,28621,Elkin,252,8
643,28622,Elk Park,28,0
644,28623,Ennice,36,0
645,28624,Ferguson,34,1
646,28625,Statesville,669,14
647,28626,Fleetwood,12,0
648,28627,Glade Valley,8,0
649,28629,Glendale Springs,NA,NA
650,28630,Granite Falls,417,7
651,28631,Grassy Creek,21,0
652,28634,Harmony,86,0
653,28635,Hays,47,3
654,28636,Hiddenite,79,4
655,28637,Hildebran,35,0
656,28638,Hudson,226,0
657,28640,Jefferson,27,0
658,28642,Jonesville,105,1
659,28643,Lansing,21,0
660,28644,Laurel Springs,8,0
661,28645,Lenoir,860,12
662,28646,Linville,14,0
663,28649,Mc Grady,11,0
664,28650,Maiden,226,2
665,28651,Millers Creek,90,2
666,28654,Moravian Falls,71,2
667,28655,Morganton,1434,23
668,28657,Newland,59,0
669,28658,Newton,511,7
670,28659,North Wilkesboro,400,6
671,28660,Olin,37,0
672,28663,Piney Creek,3,0
673,28665,Purlear,30,1
674,28667,Rhodhiss,9,0
675,28668,Roaring Gap,NA,NA
676,28669,Roaring River,35,0
677,28670,Ronda,37,2
678,28672,Scottville,NA,NA
679,28673,Sherrills Ford,69,0
680,28675,Sparta,163,0
681,28676,State Road,46,0
682,28677,Statesville,641,7
683,28678,Stony Point,51,0
684,28679,Sugar Grove,12,0
685,28681,Taylorsville,331,2
686,28682,Terrell,6,0
687,28683,Thurmond,20,0
688,28684,Todd,8,1
689,28685,Traphill,18,0
690,28689,Union Grove,25,0
691,28690,Valdese,142,3
692,28692,Vilas,49,0
693,28693,Warrensville,15,0
694,28694,West Jefferson,80,0
695,28697,Wilkesboro,302,16
696,28698,Zionville,32,0
697,28701,Alexander,21,0
698,28702,Almond,3,0
699,28704,Arden,329,0
700,28705,Bakersville,30,0
701,28708,Balsam Grove,2,0
702,28709,Barnardsville,5,0
703,28711,Black Mountain,102,9
704,28712,Brevard,215,6
705,28713,Bryson City,50,1
706,28714,Burnsville,98,0
707,28715,Candler,287,3
708,28716,Canton,260,28
709,28717,Cashiers,49,1
710,28718,Cedar Mountain,4,0
711,28719,Cherokee,105,3
712,28720,Chimney Rock,NA,NA
713,28721,Clyde,86,0
714,28722,Columbus,85,1
715,28723,Cullowhee,137,0
716,28725,Dillsboro,NA,NA
717,28726,East Flat Rock,92,2
718,28729,Etowah,21,0
719,28730,Fairview,58,1
720,28731,Flat Rock,220,7
721,28732,Fletcher,154,0
722,28733,Fontana Dam,NA,NA
723,28734,Franklin,459,1
724,28735,Gerton,NA,NA
725,28736,Glenville,13,0
726,28739,Hendersonville,184,3
727,28740,Green Mountain,13,0
728,28741,Highlands,75,0
729,28742,Horse Shoe,25,0
730,28743,Hot Springs,11,0
731,28745,Lake Junaluska,9,0
732,28746,Lake Lure,40,0
733,28747,Lake Toxaway,8,1
734,28748,Leicester,105,4
735,28749,Little Switzerland,NA,NA
736,28751,Maggie Valley,29,0
737,28752,Marion,639,16
738,28753,Marshall,44,0
739,28754,Mars Hill,41,1
740,28756,Mill Spring,58,0
741,28757,Montreat,NA,NA
