OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
673,28665,Purlear,29,0
674,28667,Rhodhiss,2,0
675,28668,Roaring Gap,NA,NA
676,28669,Roaring River,20,0
677,28670,Ronda,45,2
678,28672,Scottville,NA,NA
679,28673,Sherrills Ford,98,0
680,28675,Sparta,159,0
681,28676,State Road,82,0
682,28677,Statesville,447,6
683,28678,Stony Point,62,0
684,28679,Sugar Grove,8,0
685,28681,Taylorsville,214,2
686,28682,Terrell,5,0
687,28683,Thurmond,29,0
688,28684,Todd,3,0
689,28685,Traphill,8,0
690,28689,Union Grove,42,0
691,28690,Valdese,269,0
692,28692,Vilas,63,0
693,28693,Warrensville,8,0
694,28694,West Jefferson,143,0
695,28697,Wilkesboro,392,6
696,28698,Zionville,49,0
697,28701,Alexander,41,0
698,28702,Almond,0,0
699,28704,Arden,100,0
700,28705,Bakersville,27,0
701,28708,Balsam Grove,1,0
702,28709,Barnardsville,6,0
703,28711,Black Mountain,183,5
704,28712,Brevard,81,2
705,28713,Bryson City,5,1
706,28714,Burnsville,41,0
707,28715,Candler,499,5
708,28716,Canton,281,34
709,28717,Cashiers,96,2
710,28718,Cedar Mountain,7,0
711,28719,Cherokee,140,5
712,28720,Chimney Rock,NA,NA
713,28721,Clyde,152,0
714,28722,Columbus,6,1
715,28723,Cullowhee,233,0
716,28725,Dillsboro,NA,NA
717,28726,East Flat Rock,137,2
718,28729,Etowah,26,0
719,28730,Fairview,113,1
720,28731,Flat Rock,305,13
721,28732,Fletcher,266,0
722,28733,Fontana Dam,NA,NA
723,28734,Franklin,703,1
724,28735,Gerton,NA,NA
725,28736,Glenville,2,0
726,28739,Hendersonville,69,1
727,28740,Green Mountain,3,0
728,28741,Highlands,105,0
729,28742,Horse Shoe,8,0
730,28743,Hot Springs,2,0
731,28745,Lake Junaluska,1,0
732,28746,Lake Lure,63,0
733,28747,Lake Toxaway,13,1
734,28748,Leicester,185,5
735,28749,Little Switzerland,NA,NA
736,28751,Maggie Valley,46,0
737,28752,Marion,1258,11
738,28753,Marshall,4,0
739,28754,Mars Hill,28,2
740,28756,Mill Spring,51,0
741,28757,Montreat,NA,NA
742,28759,Mills River,6,1
743,28761,Nebo,208,10
744,28762,Old Fort,72,0
745,28763,Otto,20,0
746,28766,Penrose,1,0
747,28768,Pisgah Forest,51,0
748,28771,Robbinsville,121,1
749,28772,Rosman,2,0
750,28773,Saluda,64,2
751,28774,Sapphire,36,0
752,28775,Scaly Mountain,10,0
753,28777,Spruce Pine,317,3
754,28778,Swannanoa,109,1
755,28779,Sylva,107,3
756,28781,Topton,9,0
757,28782,Tryon,9,5
758,28783,Tuckasegee,31,1
759,28785,Waynesville,61,0
760,28786,Waynesville,112,0
761,28787,Weaverville,117,0
762,28789,Whittier,52,1
763,28790,Zirconia,25,0
764,28791,Hendersonville,325,16
765,28792,Hendersonville,1265,19
766,28801,Asheville,306,5
767,28803,Asheville,220,2
768,28804,Asheville,294,2
769,28805,Asheville,28,6
770,28806,Asheville,397,47
771,28901,Andrews,45,4
772,28902,Brasstown,6,0
773,28904,Hayesville,48,4
774,28905,Marble,17,0
775,28906,Murphy,191,11
776,28909,Warne,0,0
777,27969,Roduco,NA,NA
778,28253,Charlotte,NA,NA
779,28608,Boone,NA,NA
780,27533,NA,NA,NA
