ZIPCODEmap,POP,CASES,DEATHS,CASERATE,DEATHRATE
27817,7777,123,0,15.815867301015816,0
27818,1269,34,0,26.792750197005518,0
27820,3292,41,2,12.454434993924666,0.6075334143377886
27821,343,0,0,0,0
27822,9119,177,3,19.410023028840882,0.3289834411667946
27823,7812,155,1,19.841269841269842,0.12800819252432155
27824,1540,23,0,14.935064935064934,0
27826,1245,33,2,26.50602409638554,1.606425702811245
27828,9031,138,1,15.280699811759495,0.11072970878086591
27829,1971,30,1,15.220700152207002,0.5073566717402334
27830,4858,80,1,16.467682173734048,0.20584602717167558
27831,3588,71,1,19.788182831661093,0.2787068004459309
27832,2912,68,0,23.35164835164835,0
27834,57505,1403,10,24.39787844535258,0.17389792191983305
27837,6506,99,1,15.216723024900093,0.1537042729787888
27839,3702,40,0,10.804970286331713,0
27840,535,22,2,41.12149532710281,3.7383177570093458
27842,1436,13,0,9.052924791086351,0
27843,1269,22,0,17.336485421591803,0
27844,3039,73,0,24.02105955906548,0
27845,2841,19,0,6.687785990848293,0
27846,3069,48,1,15.640273704789834,0.3258390355164549
27847,1071,21,0,19.607843137254903,0
27849,1483,32,0,21.57788267026298,0
27850,7413,58,0,7.824092809928504,0
27851,5595,124,0,22.16264521894549,0
27852,3454,49,0,14.186450492182976,0
27853,436,10,0,22.93577981651376,0
27855,6105,131,1,21.457821457821456,0.1638001638001638
27856,17301,344,4,19.883243743136234,0.23120050864111902
27857,1685,42,1,24.92581602373887,0.5934718100890207
27858,58170,1712,7,29.430978167440262,0.12033694344163658
27860,2062,45,1,21.823472356935014,0.48496605237633367
27862,945,9,0,9.523809523809524,0
27863,12670,183,1,14.443567482241516,0.07892659826361484
27864,4823,106,2,21.978021978021978,0.4146796599626788
27865,2003,22,1,10.983524712930604,0.49925112331502747
27866,672,21,1,31.25,1.4880952380952381
27869,2167,82,11,37.84033225657591,5.0761421319796955
27870,26633,460,14,17.27180565463898,0.5256636503585776
27871,4466,77,3,17.24137931034483,0.6717420510523959
27872,429,7,0,16.317016317016318,0
27874,4766,76,1,15.946286193873268,0.209819555182543
27875,511,7,0,13.698630136986301,0
27876,1290,27,1,20.930232558139537,0.7751937984496124
27880,3280,86,0,26.21951219512195,0
27882,7927,261,3,32.92544468272991,0.37845338715781507
27883,4361,80,1,18.344416418252695,0.22930520522815867
27884,1545,24,0,15.533980582524272,0
27885,859,55,3,64.0279394644936,3.492433061699651
27886,21595,555,26,25.70039360963186,1.2039824033341051
27888,2803,72,0,25.68676418123439,0
27889,27543,598,14,21.711505645717605,0.5082961187960643
27890,2398,48,2,20.016680567139282,0.8340283569641368
27891,5011,84,5,16.763121133506285,0.9978048293753742
27892,14363,267,4,18.589431177330642,0.27849335097124556
27893,41334,1180,26,28.547926646344415,0.6290221125465718
27896,21212,399,13,18.810107486328494,0.612860644917971
27897,2467,52,1,21.07823267126064,0.40535062829347385
27909,40958,654,30,15.96757654182333,0.7324576395331803
27910,11609,459,26,39.53828925833405,2.2396416573348263
27915,758,10,0,13.192612137203167,0
27916,554,2,0,3.6101083032490973,0
27917,1084,4,0,3.690036900369004,0
27919,1211,15,1,12.386457473162675,0.8257638315441783
27920,1415,28,0,19.78798586572438,0
27921,5366,51,3,9.504286246738726,0.5590756615728661
27922,1107,27,0,24.390243902439025,0
27923,990,2,0,2.0202020202020203,0
27924,3509,80,1,22.79851809632374,0.28498147620404674
27925,4164,112,2,26.897214217098945,0.4803073967339097
27926,1965,14,0,7.124681933842239,0
27927,613,5,0,8.156606851549755,0
27928,1888,48,1,25.423728813559322,0.5296610169491526
27929,1949,8,0,4.104669061056952,0
27932,12644,253,3,20.00949066751028,0.2372666877570389
27935,1674,18,2,10.75268817204301,1.1947431302270013
27936,961,10,1,10.40582726326743,1.0405827263267429
27937,4253,63,1,14.813073124853045,0.2351281448389372
27938,1430,15,0,10.48951048951049,0
27939,3370,13,0,3.857566765578635,0
27941,670,5,0,7.462686567164179,0
27942,936,22,0,23.504273504273506,0
27943,491,8,0,16.293279022403258,0
27944,12230,150,1,12.264922322158627,0.08176614881439084
27946,1089,16,0,14.692378328741965,0
27947,845,6,0,7.100591715976331,0
27948,12518,98,0,7.828726633647547,0
27949,7235,40,0,5.5286800276434,0
27950,2183,7,0,3.20659642693541,0
27953,992,6,0,6.048387096774194,0
27954,6405,42,0,6.557377049180328,0
27956,328,0,0,0,0
27957,1419,36,1,25.36997885835095,0.704721634954193
27958,12061,106,1,8.788657656910704,0.08291186468783683
27959,2451,19,1,7.751937984496124,0.4079967360261118
27960,899,4,0,4.4493882091212456,0
27962,7439,85,3,11.42626697136712,0.4032800107541336
27964,653,2,0,3.0627871362940278,0
27965,611,0,0,0,0
27966,1473,6,0,4.0733197556008145,0
27970,3214,67,4,20.846297448662103,1.2445550715619167
27972,196,0,0,0,0
27973,1493,12,0,8.037508372404554,0
27974,1375,8,0,5.818181818181818,0
27976,3561,45,0,12.636899747262005,0
27978,221,0,0,0,0
27979,1813,13,0,7.170435741864313,0
27980,2075,71,0,34.21686746987952,0
27981,1863,7,0,3.7573805689747717,0
27982,413,5,0,12.106537530266344,0
