ZIPCODE,POP,CASES,DEATHS
28470,13446,195,2
28472,20002,415,14
28478,4976,102,0
28479,4874,70,1
28480,2737,85,0
28501,19507,247,5
28504,21016,382,18
28508,2984,108,2
28510,1543,9,0
28511,628,2,0
28512,3689,19,1
28513,10825,198,1
28515,3463,139,2
28516,12482,85,3
28518,8803,156,2
28519,328,NA,NA
28520,352,NA,NA
28521,2259,40,2
28523,2274,32,2
28524,443,NA,NA
28525,3309,37,0
28526,2384,28,0
28527,905,6,0
28528,640,0,0
28529,2539,49,0
28530,7474,132,1
28531,1414,7,0
28532,25868,170,2
28533,0,NA,NA
28537,186,NA,NA
28538,3342,60,0
28539,18000,116,1
28540,52400,448,7
28542,6146,88,0
28543,6618,38,2
28544,5607,52,2
28545,4010,14,0
28546,51963,431,4
28547,13868,206,0
28551,14265,290,6
28552,131,NA,NA
28553,522,3,0
28555,4702,41,0
28556,1150,3,0
28557,15254,159,0
28560,28926,407,18
28561,0,NA,NA
28562,38009,463,10
28570,22687,246,1
28571,3137,16,0
28572,6379,107,1
28573,2475,71,9
28574,17702,193,4
28577,595,5,0
28578,7044,243,3
28579,798,7,0
28580,12031,280,5
28581,224,NA,NA
28582,1824,8,0
28583,0,NA,NA
28584,12910,75,0
28585,4170,43,2
28586,8427,245,1
28587,324,NA,NA
28590,26551,528,6
28594,3678,33,0
28601,49848,1000,15
28602,31218,621,20
28604,6449,44,0
28605,4143,25,0
28606,2367,30,0
28607,37481,409,1
28608,0,NA,NA
28609,6457,90,0
28610,10238,155,1
28611,978,16,0
28612,14906,208,8
28613,25216,489,8
28615,1883,23,0
28617,2451,29,0
28618,2480,24,0
28621,10400,252,8
28622,2638,28,0
28623,1716,36,0
28624,1893,34,1
28625,38862,669,14
28626,3001,12,0
28627,1534,8,0
28629,63,NA,NA
28630,20369,417,7
28631,536,21,0
28634,5269,86,0
28635,4032,47,3
28636,5186,79,4
28637,1583,35,0
28638,12560,226,0
28640,4805,27,0
28642,5578,105,1
28643,3443,21,0
28644,1570,8,0
28645,47621,860,12
28646,463,14,0
28649,1034,11,0
28650,13374,226,2
28651,6653,90,2
28654,3800,71,2
28655,58249,1434,23
